,relationship_precision,relationship_recall,relationship_quality,grouping_precision,grouping_recall,grouping_quality,global_precision,global_recall,global_quality,desc,matching,alignment,rank_top_k,min_keypoints,max_queuesize,min_area,same_class
0,0.9058077484233659,0.5386725623440923,0.6755838445109803,0.922531468946681,0.7072114659319948,0.8006475359511196,0.9438902743142145,0.7740286298568507,0.850561797752809,vlfeat_sift_heq,BF,CV_MAGSAC,40,10,300,0.01,True
1,0.8916251718266806,0.6327875184346176,0.7402316753966854,0.9052793942268708,0.7804119524166439,0.8382209008047493,0.9313154831199069,0.8179959100204499,0.8709853021230267,vlfeat_sift_heq,BF,CV_MAGSAC,200,5,1000,0.05,True
2,0.8895669381071193,0.6345206792217196,0.7407036332598569,0.9037572585840674,0.7819456947479322,0.8384503284521713,0.9303135888501742,0.8190184049079755,0.871125611745514,vlfeat_sift_heq,BF,CV_MAGSAC,200,10,300,0.01,True
3,0.9104943861950586,0.5863730167444289,0.7133421957263995,0.924680553311068,0.7575817265189333,0.8328321908598838,0.9459134615384616,0.8047034764826176,0.8696132596685083,vlfeat_sift_heq,BF,CV_MAGSAC,100,10,1000,0.1,True
4,0.9726007081169725,0.42776836871573387,0.5941973801134822,0.9742684564780288,0.6235469533417294,0.7604159079206195,0.9838945827232797,0.6871165644171779,0.8091511137868753,vlfeat_sift_heq,BF,CV_MAGSAC,100,50,500,0.1,True
5,0.9559793440390455,0.48487099623957086,0.6434070825690773,0.9603430334702061,0.681368164128437,0.7971525937159379,0.9728629579375848,0.7331288343558282,0.8361516034985422,vlfeat_sift_heq,BF,CV_MAGSAC,100,40,500,0.05,True
6,0.9365831772784021,0.45509846371775486,0.6125503887774165,0.93910152801002,0.6476459996033525,0.7666063280424795,0.9578651685393258,0.6973415132924335,0.8071005917159764,vlfeat_sift_heq,BF,CV_MAGSAC,400,50,300,0.01,True
7,0.9079609909673866,0.5287552868412162,0.6683145192060699,0.9242127976190477,0.7067002184882321,0.800951834409835,0.945,0.7730061349693251,0.8503937007874016,vlfeat_sift_heq,BF,CV_MAGSAC,40,20,300,0.1,True
8,0.9355104444015205,0.5072186341210254,0.6577927025650886,0.9400288310663484,0.7029354658337754,0.8043748796118507,0.958005249343832,0.7464212678936605,0.8390804597701148,vlfeat_sift_heq,BF,CV_MAGSAC,200,40,1000,0.1,True
9,0.9559793440390455,0.48487099623957086,0.6434070825690773,0.9603430334702061,0.681368164128437,0.7971525937159379,0.9728629579375848,0.7331288343558282,0.8361516034985422,vlfeat_sift_heq,BF,CV_MAGSAC,100,40,1000,0.05,True
10,0.881217451182394,0.6400798410364974,0.7415375403038003,0.8944700780400578,0.7865469217417972,0.8370441067090351,0.9241379310344827,0.8220858895705522,0.8701298701298702,vlfeat_sift_heq,BF,CV_MAGSAC,400,20,300,0.01,True
11,0.8916251718266806,0.6326814993794593,0.7401591310354951,0.9052793942268708,0.7804119524166439,0.8382209008047493,0.9313154831199069,0.8179959100204499,0.8709853021230267,vlfeat_sift_heq,BF,CV_MAGSAC,200,10,500,0.05,True
12,0.9102612052478658,0.5974194555267277,0.7213832050440889,0.924680553311068,0.7575817265189333,0.8328321908598838,0.9459134615384616,0.8047034764826176,0.8696132596685083,vlfeat_sift_heq,BF,CV_MAGSAC,100,5,500,0.05,True
13,0.9102612052478658,0.5974194555267277,0.7213832050440889,0.924680553311068,0.7575817265189333,0.8328321908598838,0.9459134615384616,0.8047034764826176,0.8696132596685083,vlfeat_sift_heq,BF,CV_MAGSAC,100,20,300,0.05,True
14,0.9355104444015205,0.5133583028445098,0.6629338301956302,0.9400288310663484,0.7029354658337754,0.8043748796118507,0.958005249343832,0.7464212678936605,0.8390804597701148,vlfeat_sift_heq,BF,CV_MAGSAC,200,40,1000,0.05,True
15,0.8822200234223183,0.6376351343735108,0.7402474904223213,0.8958829703431341,0.7865469217417972,0.8376622358879464,0.9252013808975834,0.8220858895705522,0.8706009745533297,vlfeat_sift_heq,BF,CV_MAGSAC,400,10,300,0.05,True
16,0.9559793440390455,0.4793223236592299,0.6385030420675966,0.9603430334702061,0.681368164128437,0.7971525937159379,0.9728629579375848,0.7331288343558282,0.8361516034985422,vlfeat_sift_heq,BF,CV_MAGSAC,100,40,500,0.1,True
17,0.8938120994446066,0.6192689544070347,0.7316330911029835,0.9072838780851425,0.7786225863634741,0.8380437878581578,0.9334112149532711,0.8169734151329243,0.871319520174482,vlfeat_sift_heq,BF,CV_MAGSAC,200,10,1000,0.1,True
18,0.8938120994446066,0.6190065654509941,0.7314499360356977,0.9072838780851425,0.7786225863634741,0.8380437878581578,0.9334112149532711,0.8169734151329243,0.871319520174482,vlfeat_sift_heq,BF,CV_MAGSAC,200,20,300,0.1,True
19,0.9878507871321013,0.23112338728649184,0.37460255491384253,0.9927104722792608,0.4040724008964264,0.5743582794896605,0.9958932238193019,0.49591002044989774,0.6621160409556315,vlfeat_sift_heq,BF,CV_MAGSAC,100,100,500,0.1,True
20,0.9102612052478658,0.5974194555267277,0.7213832050440889,0.924680553311068,0.7575817265189333,0.8328321908598838,0.9459134615384616,0.8047034764826176,0.8696132596685083,vlfeat_sift_heq,BF,CV_MAGSAC,100,5,1000,0.05,True
21,0.8841597808143795,0.6253674772876082,0.7325800427642176,0.8978317566145306,0.7847575556886275,0.8374952219041542,0.9272517321016166,0.8210633946830266,0.8709327548806941,vlfeat_sift_heq,BF,CV_MAGSAC,400,20,300,0.1,True
